client_id,date,skipped_days_counter,compensatory_asks_week,day_total_kcal,day_total_protein_g
C-01,2026-07-14,0,0,2380,158
C-01,2026-07-15,0,0,2410,162
C-01,2026-07-16,0,0,2350,155
C-01,2026-07-17,0,0,2420,160
C-01,2026-07-18,0,0,2600,150
C-01,2026-07-19,0,1,2450,148
C-01,2026-07-20,0,2,2400,157
C-01,2026-07-21,0,2,2390,161
C-01,2026-07-22,0,0,2405,159
C-02,2026-07-14,0,0,1480,82
C-02,2026-07-15,1,0,1310,74
C-02,2026-07-16,0,0,1450,80
C-02,2026-07-17,0,0,1500,85
C-02,2026-07-18,0,0,1440,78
C-02,2026-07-19,0,0,1465,81
C-02,2026-07-20,0,0,1490,84
C-02,2026-07-21,0,0,1455,79
C-02,2026-07-22,0,0,1470,83
C-01,2026-07-23,0,0,2380,156
